,Country,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,happy_level
28,Chile,6.439937479926117,1.2268283878493276,0.8175175664878997,0.4124484382115306,0.0805421665132761,0.2248526777783126,Very Happy
29,China,5.267862462561096,1.0720774003197324,0.7778567544551086,0.5551853531305065,0.0821637285766576,0.0647834856251143,Happy
30,Colombia,6.207050005889374,1.0462195043679423,0.687926009072998,0.5107984317594128,0.0513383889815056,0.1208323208701782,Happy
31,Comoros,4.1785999946666665,0.431795129,0.3847238873333333,0.1822197053333333,0.1312364225,0.221108046,Ok
32,Congo (Brazzaville),4.687299965421722,0.7144163746839906,0.3567110697423725,0.4141975332250022,0.1065848647005658,0.1190897675839052,Ok
33,Congo (Kinshasa),4.340500013301392,0.0623666361340789,0.2192798464767303,0.2606090546363958,0.063951333582007,0.2354501193859748,Ok
34,Costa Rica,7.050424984398163,1.1096729993269574,0.8208593251778527,0.616894924121376,0.098346085187017,0.1634224425045413,Very Happy
35,Croatia,5.600587550656555,1.2283263149257588,0.7697692624112281,0.3498911468267479,0.0225935145056493,0.1324727443973903,Happy
36,Cyprus,5.9083749666349785,1.34742968837162,0.9017749122719612,0.4071609264204826,0.0506481400502555,0.2222033293838958,Happy
37,Czech Republic,6.758612540249207,1.342516838258255,0.8061998066381455,0.5143138437084885,0.0396320187624332,0.082572835986567,Very Happy
38,Denmark,7.578949959746002,1.4706989420964514,0.8556972613222618,0.649979577431282,0.45739129952108,0.2791467355911846,Very Happy
39,Djibouti,4.369,0.44025,0.36291,0.46074,0.28105,0.18093,Ok
40,Dominican Republic,5.371024992884186,1.0783507105646664,0.6358394301801796,0.5595967167170525,0.1282438668991722,0.1433580788414306,Happy
41,Ecuador,5.8977749853753965,0.9724104999163364,0.7441692456703147,0.5097340936946125,0.1175197538110742,0.1135336177529992,Happy
42,Egypt,4.3248000278143,0.9800850935623664,0.5532973212150498,0.3106431110785942,0.1121266448097548,0.0894253370981578,Ok
43,El Salvador,6.143787470320283,0.875870612978817,0.6527648205975188,0.488085805958601,0.1198626639865341,0.0944855356766343,Happy
44,Estonia,5.842600012754395,1.3148375706464763,0.746421665545536,0.5372232794234371,0.2066307176536016,0.1032571949006137,Happy
45,Ethiopia,4.352275022518371,0.367489936184042,0.4168232443182793,0.4177424515553856,0.1376340936085176,0.2442273553933296,Ok
46,Finland,7.645087493458862,1.4259989292704087,0.8558061343180274,0.6496246995857047,0.4356536006175175,0.1851979018235912,Very Happy
47,France,6.577099959407745,1.4090891013642577,0.902865009847969,0.5073753770645828,0.2055432081616535,0.1072862512261781,Very Happy
48,Gabon,4.584787509948487,1.1242505775513,0.4244091788107147,0.3374885592552032,0.0757376657752947,0.0489323725421133,Ok
49,Gambia,4.87039996525,0.429247638,0.3400619702499999,0.384104881,0.13777344875,0.38699742175,Ok
50,Georgia,4.528824945866607,0.9517038416528396,0.6502268256072311,0.4052855178262748,0.2369830889093608,0.0422435688046944,Ok
51,Germany,6.988725019452882,1.4618622412140962,0.8573494415942878,0.567776939560894,0.2873792787654629,0.2583708592557316,Very Happy
52,Ghana,4.723749956069885,0.6768421614285698,0.368116247722969,0.4538082946895199,0.0426320938590116,0.2395143937197513,Ok
53,Greece,5.368500012813904,1.2664346996396565,0.8605063313854752,0.1368071998677191,0.0509217661114337,0.001875,Happy
54,Guatemala,6.351862503523162,0.8632359571215553,0.6032290718446922,0.5830721674904671,0.090789197322762,0.2057587572287368,Happy
55,Guinea,4.261537472685302,0.3781097080119591,0.252895547148119,0.3564056963712463,0.1088415220898966,0.244501991760849,Ok
56,Haiti,3.8091142640876288,0.313292098695827,0.3257282657196154,0.1246624819037357,0.1330454030752961,0.4526519195556444,Ok
57,Honduras,5.512275011962066,0.7118683378416253,0.6564361827427903,0.4639072421513023,0.0760578193183841,0.2266733840810803,Happy
58,Hong Kong S.A.R. of China,5.459549992508789,1.5187701126043087,1.0040928848324662,0.4748993952023735,0.3271411482748642,0.2926870871714001,Happy
